Strain	YAL001C	YAL002W	YAL003W	YAL005C	YBR001C	YBR002C	YBR003W	YBR004C	YGR001C	YGR002C	YGR003W	YGR004W	YLR001C	YLR002C	YLR003C	YLR004C	YPR001W	YPR002W	YPR003C	YPR004C
ADL	1.4943456748627	2.38544328759926	1.40203886174807	-0.0531854603773996	0.317271837935359	0.801615389700607	-0.847068174287293	1.05813173174183	0.108846662300353	0.436440322051027	1.92730276908461	-0.0995510164407733	0.519368320036788	0.651097014623364	0.556768557060086	0.776372943684694	-1.87119122949614	1.46668426941392	1.16077020710291	2.47375281825758
AEN	1.35424889402161	1.38979223120839	0.431361382399837	2.47375281825758	0.733346428057981	0.31241430526481	1.41449945736515	0.0624462446608918	-1.55338179208514	0.020803394851032	-0.508816874637437	-0.814429750182111	1.12523679619429	-0.519368320036788	-0.622785418435346	-1.04208545617778	0.929370529081036	0.788931328714111	0.322136868433913	1.10799175722483
AEP	0.90821980511059	0.709360961240266	2.10260593706893	0.230855084109714	0.472319239554667	1.58504865992564	0.462007961827509	1.71069771654512	1.6357578726613	-0.361343975404039	0.578491659448401	0.8208873000614	-0.567596626856915	1.60149673184337	1.08272527320316	-3.04780302359594	1.44010167491054	0.950945409769139	0.346579391510708	-0.573035640562782
AFE	-0.0254272773144222	-0.341674763414337	0.7577614203553	0.472319239554667	-0.493094811141767	-0.860378466661158	-0.0902639649211258	0.446632234104392	-0.519368320036788	1.32033860534373	1.06625794667936	-0.3911148968825	-0.164847412361832	0.0763477194581177	0.197743523287746	0.715318642694747	-0.0393025832515716	2.38544328759926	0.197743523287746	0.249887896770684
AII	0.691636690647132	2.19555850201637	2.25021621287547	-1.17909916608271	-1.11657276919127	1.4943456748627	-2.47375281825758	0.503562392301424	0.118151723225211	-1.2366186928866	0.351492370953221	-0.10419771391158	-1.41449945736515	2.10260593706893	0.8208873000614	1.82041880210101	-0.691636690647132	0.546005377638976	-0.827379263767075	-0.7577614203553
AIM	-0.801615389700607	-0.827379263767075	-0.535305083204834	0.0856234070086263	-0.477493702756547	0.361343975404039	0.578491659448401	-0.776372943684694	-0.150805570696377	1.24661052356711	0.853704414667964	0.90821980511059	0.0856234070086263	0.472319239554667	-0.3911148968825	0.336778340733777	-0.0115568652502283	-0.188324339375464	-0.901259356808879	-0.583964953624621
AKB	-1.55338179208514	-2.14676625762727	1.50861594454147	-0.721301822577589	-1.79669793543813	0.020803394851032	-1.16988555851303	-0.901259356808879	0.178921834578924	-1.4532646086429	-0.867091064342285	0.880634932625584	-1.46668426941392	0.87384296154877	0.401114754287042	-0.0763477194581177	-0.529977908672818	-1.22674881973321	-1.06625794667936	-0.567596626856915
AKE	0.426293545737194	0.936513704648091	-0.245121470401313	1.95779925340944	1.2366186928866	-2.19555850201637	3.04780302359594	-0.245121470401313	-0.514085442961773	-0.721301822577589	-1.56901855929446	-0.386129658715449	1.14282313042287	-1.35424889402161	-1.48037338617847	-0.467157391991122	-0.551378982920077	0.221370375488073	0.472319239554667	-0.0809846922547478
AKL	2.31255918106693	0.90821980511059	-1.16077020710291	1.75207880523408	3.04780302359594	-1.09107008009333	2.47375281825758	0.880634932625584	-0.396109874324842	1.46668426941392	-1.09949156453671	-0.600491259466874	1.75207880523408	-1.69106041213994	-1.92730276908461	0.0254272773144221	0.87384296154877	0.887467773206314	1.67205437282744	0.235605184246378
AKR	0.551378982920077	0.406129701979744	0.188324339375464	1.50861594454147	1.75207880523408	0.788931328714111	2.14676625762727	0.193031790572725	-1.82041880210101	0.0300517034871831	-0.578491659448401	1.21699702417525	0.840469030493827	-0.995481629333983	-0.606036450750844	-0.936513704648091	-1.6357578726613	0.709360961240266	0.020803394851032	0.617183227565994
